.HEADER
..NAMES
wavelength,transmission,transmission,angle,group delay,group velocity,dispersion,loss,gain
..UNITS
m,TE transmission,TE transmission,TE angle (rad),TE group delay (s),TE group velocity (m/s),TE dispersion (s/m),TE loss (dB),TE gain (dB)
..DATATYPES
double,complex,complex,double,double,double,double,double,double
..WAVEFORM_TYPES
,analog,analog,analog,analog,analog,analog,analog,analog
..AXIS_SPACING
linear
..FOLDER_NAME
input_1_mode_1
.DATA
1.480009366211992e-06,0.004673908428182282,-0.002451035281656,219.4285028968882,3.665555768490713e-12,272809926559.0354,0.001058748186086727,45.55128115220712,-45.55128115220712
1.480018732541807e-06,0.004741592260489158,-0.002667630408353212,219.3990186313477,3.665555768490713e-12,272809926559.0354,0.001058748186086727,45.28723707251318,-45.28723707251318
1.480028098990174e-06,0.004798826621017289,-0.002889825153435564,219.3694544922151,3.675497007888933e-12,272072048447.7724,0.001063985822200078,45.03349463962402,-45.03349463962402
1.480037465557095e-06,0.004845237653965277,-0.003117111917398509,219.3398100833392,3.685413615826159e-12,271339964585.1772,0.001053461975433838,44.78957227851104,-44.78957227851104
1.480046832242572e-06,0.004880475744890741,-0.003348950166784038,219.3100861976592,3.695159853970996e-12,270624286774.8609,0.001027581299865205,44.55503943385043,-44.55503943385043
1.480056199046607e-06,0.004904219709442248,-0.0035847675933273,219.2802847867213,3.704594936226719e-12,269935044779.4276,0.000986997722612082,44.3295092334435,-44.3295092334435
1.480065565969203e-06,0.004916180914489771,-0.003823961943972906,219.2504089113867,3.713585324128331e-12,269281546731.318,0.0009326059512298675,44.11263205738849,-44.11263205738849
1.480074933010361e-06,0.004916107211790333,-0.004065903515036969,219.2204626743715,3.722006916257577e-12,268672257333.0103,0.0008655273066223416,43.90408989260769,-43.90408989260769
1.480084300170085e-06,0.004903786565164243,-0.004309938280668569,219.1904511356855,3.72974707996845e-12,268114694792.7791,0.0007870901919975396,43.70359137872762,-43.70359137872762
1.480093667448376e-06,0.004879050257830907,-0.004555391602791994,219.1603802124432,3.736706476265221e-12,267615346924.3011,0.0006988054326513762,43.5108674712562,-43.5108674712562
1.480103034845236e-06,0.004841775577032057,-0.004801572447830772,219.1302565649054,3.74280063193195e-12,267179606487.3011,0.0006023369481086172,43.32566766300687,-43.32566766300687
1.480112402360668e-06,0.004791887888192839,-0.005047778015878709,219.1000874709647,3.747961219743388e-12,266811725460.8272,0.0004994687330400308,43.14775671568687,-43.14775671568687
1.480121769994674e-06,0.004729362029966887,-0.005293298671765282,219.0698806915645,3.752137014944535e-12,266514787710.8593,0.0003920687420697205,42.97691186133157,-42.97691186133157
1.480131137747257e-06,0.004654222983903599,-0.005537423055326568,219.0396443297767,3.755294505346455e-12,266290699324.99,0.0002820510396955301,42.81292043858527,-42.81292043858527
1.480140505618418e-06,0.004566545797045494,-0.005779443241144675,219.0093866863923,3.757418142892693e-12,266140195732.9503,0.0001713370976521113,42.65557793207373,-42.65557793207373
1.480149873608159e-06,0.004466454761388208,-0.006018659816177996,218.9791161149465,3.758510234240307e-12,266062864719.6237,6.181742630744359e-05,42.50468638497539,-42.50468638497539
1.480159241716484e-06,0.004354121879534279,-0.006254386747290665,218.9488408790724,3.758590479764735e-12,266057184304.5252,-4.468511335322888e-05,42.36005315572349,-42.36005315572349
